StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,age_1,gender,education,num_tabs_1,name_confidential,number_confidential
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"This brief survey will be used as a demonstration of how to collect data, clean the data and remove any confidential information, and publish the data. The information collected is entirely anonymous. It will be used as part of the tutorial for educational purposes. By continuing, you agree that the data you enter will be stored and used for these purposes. You do not need to fill out this information in order to participate in the tutorial. At any point you can choose to stop participating in the survey or not answer any question. Do you consent to participating in this survey?",What is your age? - Age (years),What is your gender?,What is your highest completed level of education?,"On your computer currently, how many open browser tabs do you have? - Number of tabs","This question will ask you for a piece of confidential information. Do not respond with a true answer, but instead make up a response. Question: what is your name?","This question will ask you for a piece of confidential information. Do not respond with a true answer, but instead make up a response. Question: what is your phone number?"
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}"
2025-07-01 11:13:44,2025-07-01 11:14:18,IP Address,100,34,True,2025-07-01 11:14:19,R_5rYfeErcBsS3nsJ,anonymous,EN,Yes,24,Female,Master's degree,3,Harry Potter,555-555-5555
2025-07-01 11:23:01,2025-07-01 11:23:28,IP Address,100,26,True,2025-07-01 11:23:28,R_5rHTV2kfYGjFPep,anonymous,EN,No,21,Male,Bachelor's degree,11,Ronald Weasley,555-555-5555
2025-07-01 11:26:40,2025-07-01 11:26:40,Survey Preview,100,0,True,2025-07-01 11:26:41,R_5n9pjLJcwZa3sxX,preview,EN,,,,,,,
2025-07-01 11:27:12,2025-07-01 11:27:12,Survey Preview,100,0,True,2025-07-01 11:27:12,R_5VyYbtgy8BGQ0JH,preview,EN,,,,,,,
2025-07-01 11:30:26,2025-07-01 11:30:47,IP Address,100,21,True,2025-07-01 11:30:48,R_5qPVTnaA8TnohUf,anonymous,EN,Yes,52,Male,Bachelor's degree,2,George Washington,555 555 5555
2025-12-19 12:20:44,2025-12-19 12:21:19,IP Address,100,35,True,2025-12-19 12:21:19,R_61dqVI7LXvnG75Q,anonymous,EN,Yes,58,Female,Master's degree,5,Harry Potter,555-555-5555
2025-12-22 12:34:24,2025-12-22 12:34:46,IP Address,100,22,True,2025-12-22 12:34:47,R_64oqfD6ZJnYNHGT,anonymous,EN,Yes,34,Female,Master's degree,5,Harry Potter,555-555-5555
2025-12-22 12:35:57,2025-12-22 12:36:47,IP Address,100,50,True,2025-12-22 12:36:48,R_6DihZW09Rvu1cWX,anonymous,EN,Yes,71,Prefer not to say,Secondary or less,31,Ronald Weasley,555555555555
2025-12-22 12:37:13,2025-12-22 12:37:27,IP Address,100,14,True,2025-12-22 12:37:28,R_3RljbU65ovQbg7n,anonymous,EN,Yes,73,Prefer not to say,Secondary or less,14,xx,123
2025-12-22 12:37:47,2025-12-22 12:38:03,IP Address,100,15,True,2025-12-22 12:38:03,R_6wgDQVzW3t0W6xH,anonymous,EN,Yes,8,Non-binary / third gender,Professional or doctoral degree,6,sfsd,2343
2025-12-22 12:44:56,2025-12-22 12:45:23,IP Address,100,27,True,2025-12-22 12:45:23,R_1vYyy5e6OeunDVE,anonymous,EN,Yes,25,Male,Secondary or less,35,Hermione Granger,123
2025-12-22 12:46:47,2025-12-22 12:47:08,IP Address,100,20,True,2025-12-22 12:47:08,R_6IQZINVl7ujJzwf,anonymous,EN,No,59,Female,Secondary or less,18,Shdjdh,273737
2026-01-09 16:39:58,2026-01-09 16:40:20,IP Address,100,22,True,2026-01-09 16:40:20,R_5KkUZBB3AAlop4q,anonymous,EN,Yes,62,Female,Secondary or less,17,Shssjshs,273848484
2026-01-09 16:45:37,2026-01-09 16:45:49,IP Address,100,12,True,2026-01-09 16:45:50,R_6kMN9y1cMpmR9yD,anonymous,EN,Yes,36,Female,Bachelor's degree,28,skdfjsadkjf,123123
2026-01-12 10:14:54,2026-01-12 10:15:07,IP Address,100,12,True,2026-01-12 10:15:07,R_7FeQozsC7FPwLG4,anonymous,EN,Yes,62,Male,Secondary or less,20,asdkjahdjkash,123182391728
2026-01-14 08:36:33,2026-01-14 08:37:24,IP Address,100,51,True,2026-01-14 08:37:24,R_1Ojcl3PnFF8uOuB,anonymous,EN,Yes,27,Male,Master's degree,25,Samual,5647836542
2026-01-14 08:36:53,2026-01-14 08:37:27,IP Address,100,33,True,2026-01-14 08:37:27,R_6aEwLdySfbFWFiw,anonymous,EN,Yes,25,Female,Master's degree,2,Harry Potter,(555) 555-5555
2026-01-14 08:36:42,2026-01-14 08:38:03,IP Address,100,80,True,2026-01-14 08:38:03,R_2M4Q0jAljAnsiRz,anonymous,EN,Yes,33,Male,Master's degree,10,John Doe,+1 219879728464
2026-01-14 08:36:43,2026-01-14 08:38:26,IP Address,100,102,True,2026-01-14 08:38:26,R_8OW6C0LlnphfzMq,anonymous,EN,Yes,38,Female,Professional or doctoral degree,5,Rejoice,+412 504433201
2026-01-14 08:38:09,2026-01-14 08:40:13,IP Address,100,123,True,2026-01-14 08:40:13,R_2MEBDcnIfeZb0nK,anonymous,EN,Yes,41,Female,Professional or doctoral degree,27,Batoft,23486436734
2026-01-14 08:37:18,2026-01-14 08:40:24,IP Address,100,185,True,2026-01-14 08:40:24,R_8yfGi2NYlidBVXf,anonymous,EN,Yes,26,Female,Master's degree,10,Cathy,+261349044276
2026-01-14 08:41:50,2026-01-14 08:43:52,IP Address,100,121,True,2026-01-14 08:43:52,R_2YhPcx19l15Kx5v,anonymous,EN,Yes,30,Male,Professional or doctoral degree,12,"Christian ","+261 34 12 345 "
2026-01-14 08:42:12,2026-01-14 08:43:59,IP Address,100,106,True,2026-01-14 08:44:00,R_2bVqlPYQRy9RRHP,anonymous,EN,Yes,,Female,Professional or doctoral degree,27,Batoft,80572134445666
2026-01-23 14:37:39,2026-01-23 14:39:47,IP Address,100,127,True,2026-01-23 14:39:47,R_3gTuyiidwhUsUwj,anonymous,EN,Yes,25,Male,Master's degree,20,Dave,56 555 666 757
2026-02-05 15:24:03,2026-02-05 15:24:21,IP Address,29,17,False,2026-02-12 15:24:23,R_7tL5n8AUnJqLKB4,anonymous,EN,Yes,27,,,,,
